material_name,cell_volume,cell_a,cell_b,cell_c,cell_alpha,cell_beta,cell_gamma,density,num_sites,cell_length_ratio_max,cell_length_std,cell_sphericity,num_elements,total_atoms,element_diversity,avg_atomic_mass,total_mass,mass_std,avg_electronegativity,electronegativity_std,electronegativity_range,alkali_fraction,has_alkali,alkaline_earth_fraction,has_alkaline_earth,transition_3d_fraction,has_transition_3d,transition_4d_fraction,has_transition_4d,transition_5d_fraction,has_transition_5d,lanthanide_fraction,has_lanthanide,post_transition_fraction,has_post_transition,metal_fraction,nonmetal_fraction,carbon_content,n_o_ratio,heteroatom_content,max_pore_diameter,largest_free_sphere
DDEC_MUVHAN,-1.0132295428833782,-0.9885550431028466,-0.7957253161753067,-0.6927799964517736,-0.15125764258168964,0.06027600631698738,-0.009611970241826613,-0.7389175146843391,-0.8268173007538405,-0.41538667788121186,-0.5373478722913857,0.3907345353259206,-0.9698935320612043,-0.8268173007538405,0.39924120708121547,-0.7592540029355517,-1.2730983900681956,-0.5002823391217351,-0.7046579950275389,-0.5395233722941956,-0.5042461529539254,-0.1104507291135596,-0.12171612389003689,-0.21433214659309496,-0.22853302288711624,-0.826104001846547,0.3963516047584449,0.0,0.0,0.0,0.0,0.0,0.0,-0.24476334024067295,-0.29837930001470525,-1.1316117795737803,1.131611779573781,1.4158410235499381,0.7705660857986127,-0.7741374305497305,-0.1555395443137027,-0.4654267515968209
DDEC_MUVHER,-0.9948647322570398,-1.0079778814699005,-0.7486732370117739,-0.6866244992929105,-0.15125764258168964,0.06027600631698738,-0.009611970241826613,-0.7603503705437825,-0.8268173007538405,-0.39039466181701205,-0.5245285268205387,0.4008512005452827,-0.9698935320612043,-0.8268173007538405,0.39924120708121547,-0.7592540029355517,-1.2730983900681956,-0.5002823391217351,-0.7046579950275389,-0.5395233722941956,-0.5042461529539254,-0.1104507291135596,-0.12171612389003689,-0.21433214659309496,-0.22853302288711624,-0.826104001846547,0.3963516047584449,0.0,0.0,0.0,0.0,0.0,0.0,-0.24476334024067295,-0.29837930001470525,-1.1316117795737803,1.131611779573781,1.4158410235499381,0.7705660857986127,-0.7741374305497305,-0.15057758869816576,-0.4481366584909803
DDEC_MUWQEB,1.6286463771425337,1.4358220148280048,1.2333631032222343,0.2998490991742811,-0.15125764258168964,0.06027600631698738,-0.009611970241826613,-1.4577382528335279,-0.11579847312067311,-1.2331439815572045,-1.3251889557656216,2.2202944835938805,-0.9698935320612043,-0.11579847312067311,-0.5506158289087048,0.35402427843042084,0.3962949764441316,0.24782315374948763,0.23199000879280238,0.3394091395479957,0.2255832292223687,-0.1104507291135596,-0.12171612389003689,-0.21433214659309496,-0.22853302288711624,0.4514052743371502,0.3963516047584449,0.0,0.0,0.0,0.0,0.0,0.0,-0.24476334024067295,-0.29837930001470525,0.20448667325692366,-0.20448667325692252,-0.47127677888391184,4.832874224193131,1.8673038155950987,2.6360201924579116,2.1932547762108294
DDEC_MUZHUL,0.1448958992474417,0.08701767654505327,-0.10251970022669746,-0.31901134227555283,-0.09777423632184744,0.12872348152801008,0.4390871578988731,-0.16130154393811658,-0.42795308037425883,-0.9312157626040769,-0.8999685177743306,1.2026827340274604,-0.9698935320612043,-0.42795308037425883,-0.24778684356697073,0.09680759351305843,0.11598354804589388,-0.05732752468306629,-0.06813938046271276,0.08699264141124965,-0.23463790453722655,-0.1104507291135596,-0.12171612389003689,-0.21433214659309496,-0.22853302288711624,0.114054339933663,0.3963516047584449,0.0,0.0,0.0,0.0,0.0,0.0,-0.24476334024067295,-0.29837930001470525,-0.1483358619061627,0.14833586190616246,0.6664195781988493,-0.298462371673629,1.095202391145457,-0.9229346007554422,-0.42139706495901175
DDEC_NAKLIW,0.727442863572549,0.01893907949087637,0.693336512325307,0.13195852726361879,-0.15125764258168964,0.06027600631698738,-0.009611970241826613,-0.25860541398467657,0.05762075313131894,-0.5321470014284991,-0.4527765970221416,0.9150619556719198,-0.9698935320612043,0.05762075313131894,-0.676794572801094,0.5217936058554311,0.5600098507030503,0.065392648089748,0.3744007081767945,-0.1520907253731156,-0.15096133476275497,-0.1104507291135596,-0.12171612389003689,-0.21433214659309496,-0.22853302288711624,0.8309250755410732,0.3963516047584449,0.0,0.0,0.0,0.0,0.0,0.0,-0.24476334024067295,-0.29837930001470525,0.6014120253153957,-0.6014120253153932,0.22685507659869147,-0.298462371673629,-0.03278953363644106,-0.6217633596502384,-0.353211101452492
DDEC_NAQLAT,0.7928720857522333,-0.6197179672203853,-0.14070062002806466,1.9962894018210926,0.5620167128805343,0.06027600631698738,-0.009611970241826613,-0.030053893649304896,0.6472461223880919,1.703961058178189,1.9669751969323983,-1.6813559736475727,0.48388561336970454,0.6472461223880919,-0.7296859366792736,0.2700743306078135,0.7552832456520083,0.8013260707105448,0.4320453430631707,0.705451841166849,0.7925943908409918,-0.1104507291135596,-0.12171612389003689,-0.21433214659309496,-0.22853302288711624,-0.08234860132864116,0.3963516047584449,0.0,0.0,0.0,0.0,0.0,0.0,-0.24476334024067295,-0.29837930001470525,-0.35374624196686366,0.3537462419668668,0.8229767979468507,-0.28955380119469365,-0.5342753582281443,0.012247397845845564,-0.77279611317955
DDEC_NARTUX,0.5384562511727401,0.1681207729651808,0.5879891264545444,-0.18721994095392028,0.4790076858373004,0.4573749463296133,0.3242342683773962,0.402633409315164,0.9247168843912792,-0.8819270627658576,-0.822241690808974,1.5319537280362903,0.48388561336970454,0.9247168843912792,-0.8515754995261071,0.2875888925279395,0.7738026792489978,0.40449894309489565,0.7332571154844709,0.3831705453515893,0.40200620675385956,-0.1104507291135596,-0.12171612389003689,3.1354801476797864,4.3757352323386085,-1.3196871312811573,-2.5230123657741874,0.0,0.0,0.0,0.0,0.0,0.0,-0.24476334024067295,-0.29837930001470525,-0.4815571451157442,0.4815571451157474,-0.310390425357057,-0.2806452307157583,0.3659954902763511,-0.5650515913270544,-1.1422421209669187
DDEC_NEHNEV,-0.8112262903525723,-1.2442016405527452,-0.15080636680743803,-0.3819151279826588,0.5401090681231853,1.1814070885031818,0.8902046252409358,-0.7659839879754115,-0.6620690358144481,0.18190850883785395,-0.03363465884179761,-0.12990437213938308,0.48388561336970454,-0.6620690358144481,0.5919729668487602,-0.8749829552913441,-1.1184212839492256,-0.6718126357501869,-0.7920063165063849,-0.5549639803385087,-0.5909216207710135,-0.1104507291135596,-0.12171612389003689,-0.21433214659309496,-0.22853302288711624,-0.6790792398873015,0.3963516047584449,0.0,0.0,0.0,0.0,0.0,0.0,-0.24476334024067295,-0.29837930001470525,-0.9778441626619294,0.9778441626619297,0.46066598170515854,-0.2865842777017152,-0.8422382843019812,0.019187257489586714,-0.08878371422830561
DDEC_NEHNEV01,-0.017499061241932897,1.1531739482435863,-0.903607285119537,-0.41985359055142857,-1.0821964371216068,-1.210176250675021,-0.8168161392845344,0.35484504193990657,0.5605365092620959,0.07248991672794139,0.016949837241649553,-0.1154910930032709,0.48388561336970454,0.5605365092620959,-0.6859223968273518,-0.13747838634153098,0.26740857468005846,0.48244831516351255,0.31088027896187187,0.5886613716864352,0.5665798798242805,-0.1104507291135596,-0.12171612389003689,-0.21433214659309496,-0.22853302288711624,-0.6790792398873015,0.3963516047584449,0.0,0.0,0.0,0.0,0.0,0.0,-0.24476334024067295,-0.29837930001470525,-0.9778441626619294,0.9778441626619297,0.46066598170515854,-0.2865842777017152,-0.8422382843019812,-0.7335770497911074,-0.4590908275700934
DDEC_NEHZIK,0.3015907817862412,0.8767360061385479,0.6795912157346691,-0.1180870864087614,0.434294513616368,2.3518542683755084,1.9169472312791271,-0.142162926860957,0.2657238246337094,-1.2331228094608488,-1.3251543054047161,0.8714344995321831,0.48388561336970454,0.2657238246337094,-0.5107270647104656,-0.14051883800868492,0.26328241286239645,-0.3142499067946959,0.08852785147633284,-0.22448609955350465,-0.05441144656144123,-0.1104507291135596,-0.12171612389003689,-0.21433214659309496,-0.22853302288711624,-0.3484429088453113,0.3963516047584449,0.0,0.0,0.0,0.0,0.0,0.0,-0.24476334024067295,-0.29837930001470525,-0.632044176242652,0.6320441762426542,-0.1559914247949943,-0.24501094880001692,0.0366762447225614,0.5738801069722053,-0.02638528647438302
