Scheme,Top material,Composite score,Purity,Recovery,Efficiency
Balanced,DDEC_ZNGLUD01,0.694556855546699,0.9950300409593847,0.9395877729083132,0.055488702365170416
Purity-focused,DDEC_ZNGLUD01,0.7901137560124842,0.9950300409593847,0.9395877729083132,0.055488702365170416
Recovery-focused,DDEC_XOKHAH,0.767197224657083,0.8270915701400351,0.995987605454243,0.03292062248994903
Efficiency-focused,DDEC_ZNGLUD01,0.4879660649145633,0.9950300409593847,0.9395877729083132,0.055488702365170416
Custom,DDEC_ZNGLUD01,0.7855561231436844,0.9950300409593847,0.9395877729083132,0.055488702365170416
