material_name,cell_volume,cell_a,cell_b,cell_c,cell_alpha,cell_beta,cell_gamma,density,num_sites,cell_length_ratio_max,cell_length_std,cell_sphericity,num_elements,total_atoms,element_diversity,avg_atomic_mass,total_mass,mass_std,avg_electronegativity,electronegativity_std,electronegativity_range,alkali_fraction,has_alkali,alkaline_earth_fraction,has_alkaline_earth,transition_3d_fraction,has_transition_3d,transition_4d_fraction,has_transition_4d,transition_5d_fraction,has_transition_5d,lanthanide_fraction,has_lanthanide,post_transition_fraction,has_post_transition,metal_fraction,nonmetal_fraction,carbon_content,n_o_ratio,heteroatom_content,max_pore_diameter,largest_free_sphere,clean_material_name,purity,recovery,efficiency
DDEC_OSAVUA,-1.4303346887266386,1.6019988395132987,-1.5503133588894866,-1.779282589210247,1.9488600452515232,0.4689057292546533,-0.0096119284217152,-1.0141642381628162,-1.2256815211334222,1.241915041407271,1.093156826719155,-1.8245880113698385,-0.9698935320612044,-1.2256815211334222,1.8295137400929944,-0.9726707386314168,-1.848384162746876,-1.1409150625769902,-1.10877348128168,-1.0721231634366708,-1.1738049988590955,-0.1104507291135596,-0.1217161238900368,4.545927429478895,4.3757352323386085,-1.319687131281157,-2.5230123657741874,0.0,0.0,0.0,0.0,0.0,0.0,-0.2447633402406729,-0.2983793000147052,0.0095057985615337,-0.0095057985615305,0.1574501552934034,-0.298462371673629,0.5339049740291057,-0.14323836368482,0.2534105688289399,OSAVUA,0.878007027077057,0.8454538333628874,0.11510190496020109
DDEC_TECTUS,1.500414401984476,1.7733263187774384,1.567634246882356,0.1683519845694062,0.2570113882250365,1.2643610460051262,1.7372522008210267,-0.3517526444799584,0.820665348640084,-0.99371159631719,-0.9060485998097068,1.1824206129795811,-0.9698935320612044,0.820665348640084,-1.0398011129222753,1.2831363560872768,1.1701031865856937,1.03420868907114,1.3021577074210449,1.051603681946507,0.7618739718678467,-0.1104507291135596,-0.1217161238900368,6.742970310742892,4.3757352323386085,-1.319687131281157,-2.5230123657741874,0.0,0.0,0.0,0.0,0.0,0.0,-0.2447633402406729,-0.2983793000147052,0.774430768520371,-0.7744307685203675,0.5311689623218782,-0.298462371673629,0.4641579577010387,-0.4164357844315435,-0.6044545094250693,TECTUS,0.7754151430999379,0.89411495269634,0.07017629775912704
DDEC_ATAFIK,0.5405292737640405,-0.8650625369988099,1.2184156195100624,0.2885681083652096,-0.1512576425816896,0.0602760063169873,-0.0096119702418266,-0.1046064889607963,-0.358585389873462,0.4173862739002283,0.5408421113210212,0.2308743618513086,-0.9698935320612044,-0.358585389873462,-0.3257882488822657,0.4510212962901619,0.4925744091629494,0.0634900977484548,-0.017112745504279,0.0196552151756524,-0.3311877927385403,-0.1104507291135596,-0.1217161238900368,-0.2143321465930949,-0.2285330228871162,1.4174556774016818,0.3963516047584449,0.0,0.0,0.0,0.0,0.0,0.0,-0.2447633402406729,-0.2983793000147052,1.2148421148603072,-1.2148421148603064,0.4666175320169595,-0.298462371673629,0.9460464341495036,0.1048136253903435,0.4206825888421421,ATAFIK,0.8380585709690351,0.8561511184829635,0.06997709197736483
DDEC_DEPXAY,1.2749666433632918,-0.0758456840942892,-0.1887599938716962,2.5171768904834453,-0.1512576425816896,0.0602760063169873,-0.0096119702418266,-0.5032992831957298,0.3350915151345062,1.453247997340681,2.299999844817494,-1.723343798114516,0.4838856133697045,0.3350915151345062,-0.5561361489539968,0.3854467937980705,0.8742337029885946,0.393316417995516,0.2278151022962031,0.1926609560120968,0.1474655924049417,-0.1104507291135596,-0.1217161238900368,-0.2143321465930949,-0.2285330228871162,0.5620985496882944,0.3963516047584449,0.0,0.0,0.0,0.0,0.0,0.0,-0.2447633402406729,-0.2983793000147052,0.3202565676073114,-0.3202565676073098,0.3092734206487213,-0.285099515955226,0.5055702486458286,-0.3890778953705114,-0.4898912136113236,DEPXAY,0.8807144512815208,0.7973527907952781,0.1064543518013647
DDEC_FIRVEH,-1.939995850458607,0.2962067705003715,-1.515544156753082,-1.7747734521120064,-0.7081598646025254,-1.9052881684862215,-1.6620843983751064,0.4594337556563894,-1.2603653663838206,0.1129759961407348,0.0102804711926844,-1.0324564518214554,-2.4236726774921133,-1.2603653663838206,1.0392363441353991,-0.5136340514350506,-1.3424413507608537,-1.4778001550556372,-0.8657011474796865,-0.8853577119891549,-1.001770652609482,-0.1104507291135596,-0.1217161238900368,9.835104736225553,4.3757352323386085,-1.319687131281157,-2.5230123657741874,0.0,0.0,0.0,0.0,0.0,0.0,-0.2447633402406729,-0.2983793000147052,1.8509918373513263,-1.850991837351326,0.3733765771320774,-0.298462371673629,1.6421075667972864,-0.961169344608807,-0.6493362373483038,FIRVEH,0.8681082124328671,0.8525149291277673,0.06482448090828269
DDEC_GAXVUY,-0.4724605165547166,-1.3570312216507858,-0.2148855113524103,0.1963337465545167,-0.1512576425816896,0.0602760063169873,0.7374473772079455,-0.4966672265759466,-0.705423842377446,0.9622636547063974,0.5514216385269333,-0.8303106316916825,0.4838856133697045,-0.705423842377446,0.6859358612367096,-0.6726347205862043,-0.633741094933056,-0.6739965044385955,-0.7992737463337983,-0.5433423609821638,-0.5839729545747069,-0.1104507291135596,-0.1217161238900368,2.445812910623605,4.3757352323386085,-0.4341409284720036,0.3963516047584449,0.0,0.0,0.0,0.0,0.0,0.0,-0.2447633402406729,-0.2983793000147052,0.2044866732569236,-0.2044866732569225,0.6147061074223604,-0.298462371673629,-0.1594624235852104,-0.1510146810579522,-0.7756740185851093,GAXVUY,0.8038008094580658,0.8734307861772487,0.07862082134159512
DDEC_HEBTEP,-0.270950463128801,0.0737628164104764,-1.2061637221936643,0.0127969308695331,-0.1512576425816896,0.1139992505559734,-0.0096119702418266,0.0385511191035525,-0.2892176993726651,0.3337396056752092,0.1455673618960948,-0.2850622092914334,-0.9698935320612044,-0.2892176993726651,-0.3970069233005787,-0.0979178409503043,-0.1258611089771288,-0.1065086418378296,-0.0638098477995729,-0.1371752482056813,-0.0544114465614412,-0.1104507291135596,-0.1217161238900368,-0.2143321465930949,-0.2285330228871162,-0.0106188314763213,0.3963516047584449,0.0,0.0,0.0,0.0,0.0,0.0,-0.2447633402406729,-0.2983793000147052,-0.2787267988142597,0.2787267988142621,1.0868725797294352,-0.298462371673629,-0.688184051197465,-0.5277678666914148,-0.7965037087330631,HEBTEP,0.7874865484412471,0.9803441273975586,0.06583896820506362
DDEC_HIWXER,0.2182783713612727,0.7989036927332397,1.0350436002044394,-0.8259957822683568,-1.443882442471873,-1.4998466252926617,-2.109027395856564,3.5641383102529445,0.5431945866368967,-0.450623659517728,-0.3851611256065632,0.0729469173903148,0.4838856133697045,0.5431945866368967,-0.676794572801094,1.4002164999002822,1.69565936226793,2.6100255451592926,0.4734851556960806,1.0075902130500616,0.9707728208852344,-0.1104507291135596,-0.1217161238900368,-0.2143321465930949,-0.2285330228871162,2.981537282363304,0.3963516047584449,0.0,0.0,0.0,0.0,0.0,0.0,-0.2447633402406729,-0.2983793000147052,2.850655686980071,-2.8506556869800668,-2.6742706339623505,-0.0579309687423746,3.228132576187592,-1.5917869957800088,-0.9333877669442572,HIWXER,0.998689593448719,0.8458172159417257,0.019524214592262588
DDEC_HUTZEB,0.0788281335984539,1.007240025657697,-1.583100310221761,0.4598675014116565,-0.1512576425816896,0.0602760063169873,0.7674819267365847,0.3308437391834359,0.1269884436321157,1.334525947069868,0.9544817736031008,-0.6666867254239751,0.4838856133697045,0.1269884436321157,-0.4105139132764656,-0.0844210961298953,0.3380747869973244,-0.0180805284240904,-0.0428425396166529,0.1023570624972505,-0.0122805862554135,5.953069568863191,8.215838362577491,-0.2143321465930949,-0.2285330228871162,-0.2814605486773219,0.3963516047584449,0.0,0.0,0.0,0.0,0.0,0.0,-0.2447633402406729,-0.2983793000147052,0.5238518990510966,-0.5238518990510959,0.0904385071365736,-0.298462371673629,-0.1070460553305471,-1.2259834323744685,-1.063745551479852,HUTZEB,0.8246071368638285,0.9920757378535362,0.051533284967923136
DDEC_KIXXOG,-0.3090395610469723,-0.3424503877609753,-0.2053971931339398,-0.6524136684697475,-0.1512576425816896,0.0602760063169873,-0.0096119702418266,-0.2243975846005453,-0.2892176993726651,-0.9122710314860966,-0.9636450164292708,1.4932827336315375,-0.9698935320612044,-0.2892176993726651,-0.3970069233005787,-0.2349982188589348,-0.315546798536593,-0.0444716410463503,-0.0839112494498651,-0.1055941561103105,-0.0163766421184995,-0.1104507291135596,-0.1217161238900368,3.718056198857679,4.3757352323386085,-1.319687131281157,-2.5230123657741874,0.0,0.0,0.0,0.0,0.0,0.0,-0.2447633402406729,-0.2983793000147052,-0.2787267988142597,0.2787267988142621,1.0868725797294352,-0.298462371673629,-0.688184051197465,-1.1689069975550732,-1.0266454984878697,KIXXOG,0.6712909001507635,0.9955563163859292,0.06573120709372941
DDEC_LIBJAJ,0.680403155298573,0.3230442970993575,0.2263898785094563,0.1771070143929689,-0.1512576425816896,0.0602760063169873,0.4237966651215192,0.0255309909961211,1.3062391821456616,-0.7089313130580639,-0.5868951761470262,0.7146797001048046,-0.9698935320612044,1.3062391821456616,-1.1804123419020214,0.6655974344392895,0.6904057336612526,0.3850185237245451,1.6404797598121146,0.8038397114305361,0.709210396485312,-0.1104507291135596,-0.1217161238900368,3.718056198857679,4.3757352323386085,-1.319687131281157,-2.5230123657741874,0.0,0.0,0.0,0.0,0.0,0.0,-0.2447633402406729,-0.2983793000147052,-0.2787267988142597,0.2787267988142621,-0.5184934261146196,-0.298462371673629,-0.688184051197465,-1.5768258973571674,-0.8517005747713419,LIBJAJ,0.9325447539383461,0.942199252607303,0.01264969320288639
DDEC_LIRNEH,1.3938830502915305,0.9031703579207137,1.3810508159418744,0.5172534111795433,1.4594577981359318,0.0602760063169873,-0.0096119702418266,-0.2698290531175298,2.2080191586560205,-0.824832833395098,-0.7026498983966739,1.0775729673139551,0.4838856133697045,2.2080191586560205,-1.2003294288156172,0.6581122455167312,1.1300787968579746,1.6457790191700354,1.745872954926261,1.9717622018132643,1.8853635800285868,-0.1104507291135596,-0.1217161238900368,-0.2143321465930949,-0.2285330228871162,-0.8093723703402891,0.3963516047584449,0.0,0.0,0.0,0.0,0.0,0.0,-0.2447633402406729,-0.2983793000147052,-1.1141128013780006,1.1141128013780033,0.1821536018596924,-0.2316480930816138,-0.8722658043138783,-0.8963940854065461,-1.0541011692703557,LIRNEH,0.9293792434354002,0.9136547806426679,0.058462128446926435
DDEC_LOLQIM,-0.1081672696500927,1.5435989905912209,1.6039630987143665,-1.8640166052571088,1.0974848272042417,0.7802020196506786,1.8814176719101687,1.5015534169360647,-0.4973207708750556,1.5547719026132227,1.2417309771326863,-1.0224636365637134,0.4838856133697045,-0.4973207708750556,0.2884728179756834,0.2336885975418757,0.7162529919718215,0.3195719288038134,-0.4572406659457513,0.5675358687224779,0.5705296479779708,-0.1104507291135596,-0.1217161238900368,-0.2143321465930949,-0.2285330228871162,0.1857414134944041,0.3963516047584449,0.0,0.0,0.0,0.0,0.0,0.0,-0.2447633402406729,-0.2983793000147052,-0.0733610731840067,0.0733610731840069,-3.7292254378027296,-0.298462371673629,2.9820252471442688,-0.5903040575715282,-0.8962559890107963,LOLQIM,0.7755126575998023,0.9948876408956576,0.057236501821731595
