material_name,cell_volume,cell_a,cell_b,cell_c,cell_alpha,cell_beta,cell_gamma,density,num_sites,cell_length_ratio_max,cell_length_std,cell_sphericity,num_elements,total_atoms,element_diversity,avg_atomic_mass,total_mass,mass_std,avg_electronegativity,electronegativity_std,electronegativity_range,alkali_fraction,has_alkali,alkaline_earth_fraction,has_alkaline_earth,transition_3d_fraction,has_transition_3d,transition_4d_fraction,has_transition_4d,transition_5d_fraction,has_transition_5d,lanthanide_fraction,has_lanthanide,post_transition_fraction,has_post_transition,metal_fraction,nonmetal_fraction,carbon_content,n_o_ratio,heteroatom_content,max_pore_diameter,largest_free_sphere,clean_material_name,purity,recovery,efficiency,score
DDEC_HIWLOO,-2.2358736695967023,-1.280947406617967,-1.102668648001231,-1.4396796835845715,1.2703444673048228,1.0049527573680663,1.0806763395845496,2.016997151653236,-1.0696042175066294,-0.9180190223646484,-1.0191791452696062,1.0160745098544446,1.9376647588006133,-1.0696042175066294,2.6366055487305387,-0.9363247358676156,-0.9275515771495298,-1.1188974885040366,-1.249689461055779,-1.1227120549944305,-1.1966258815248605,-0.1104507291135596,-0.1217161238900368,-0.2143321465930949,-0.2285330228871162,-1.319687131281157,-2.5230123657741874,0.0,0.0,0.0,0.0,0.0,0.0,1.6486528996014207,3.3514389233794577,-0.3078566889745793,0.3078566889745823,-0.7832080334612455,-0.285099515955226,0.5628425659098999,-0.8015267169275624,-0.9873111031888946,HIWLOO,0.6076226436459543,0.99226397555205,0.01793097459337414,0.7158634019548813
DDEC_REYCOP,1.485650022956608,1.4214189302956792,0.6706229269734513,0.554063774667405,-0.1512576425816896,0.0602760063169873,0.7832973166617614,-0.1543863270476039,2.6242253016608017,-0.7799444092734226,-0.6779134080188802,1.1497493833768813,0.4838856133697045,2.6242253016608017,-1.2708052748175722,0.8360274279614831,1.2809488638302535,2.130954881642064,2.108316689297682,2.49135160241055,2.333003970780132,-0.1104507291135596,-0.1217161238900368,-0.2143321465930949,-0.2285330228871162,-0.8564783482732923,0.3963516047584449,0.0,0.0,0.0,0.0,0.0,0.0,-0.2447633402406729,-0.2983793000147052,-1.1633791553753494,1.1633791553753523,0.2471426689802376,-0.2557012333747393,-0.9935546835555684,-1.0467859182982533,-0.770226392919783,REYCOP,0.8496017004310936,0.9383077073634124,0.03918285939239708,0.7060097241832479
DDEC_VUNCAJ,0.869166630645703,0.9225928747610516,1.360904132722833,-0.7611771342050364,-0.1512576425816896,0.3403776894656444,-0.0096119702418266,0.9144988770854152,1.4449745631472553,-0.3223549297038037,-0.2252922423110261,0.4863075556774558,0.4838856133697045,1.4449745631472553,-1.025363352803819,0.8714683022056967,1.3096895081976545,0.4861732760983904,1.2164329606908764,0.433416991349673,0.7443194467403352,-0.1104507291135596,-0.1217161238900368,-0.2143321465930949,-0.2285330228871162,-0.0651633439681895,0.3963516047584449,0.0,0.0,0.0,0.0,0.0,0.0,-0.2447633402406729,-0.2983793000147052,-0.3357728337115523,0.3357728337115548,-0.2676549877014859,-0.2583738045184199,0.3261169878850721,-1.4361266843103686,-0.9314298848415774,VUNCAJ,0.8973661385226935,0.9296618266493298,0.039038714193431655,0.7058436377006062
DDEC_DEBNUU,-1.6443514059029418,0.4406312104566553,-1.5275021274755547,-1.7314160258219091,1.2493551883078446,0.0602760063169873,-0.0096119702418266,1.330615783968501,-1.0522622948814302,0.2470094312508701,0.1102899292911029,-0.9393163927045396,-0.9698935320612044,-1.0522622948814302,1.0392363441353991,-0.4667730630262013,-0.6838878222068382,-0.7856295260297756,-0.8244159610133176,-0.4568061533021507,-0.5681738819599464,-0.1104507291135596,-0.1217161238900368,-0.2143321465930949,-0.2285330228871162,-1.319687131281157,-2.5230123657741874,0.0,0.0,0.0,0.0,0.0,0.0,5.317146864295477,3.3514389233794577,2.2883447715639025,-2.2883447715639003,-1.4215118044019004,-0.298462371673629,2.47955611701415,-1.57631657615253,-0.957661879309888,DEBNUU,0.9450886285206789,0.9237693731641867,0.013033278579290706,0.7036342942976865
DDEC_LIRNEH,1.3938830502915305,0.9031703579207137,1.3810508159418744,0.5172534111795433,1.4594577981359318,0.0602760063169873,-0.0096119702418266,-0.2698290531175298,2.2080191586560205,-0.824832833395098,-0.7026498983966739,1.0775729673139551,0.4838856133697045,2.2080191586560205,-1.2003294288156172,0.6581122455167312,1.1300787968579746,1.6457790191700354,1.745872954926261,1.9717622018132643,1.8853635800285868,-0.1104507291135596,-0.1217161238900368,-0.2143321465930949,-0.2285330228871162,-0.8093723703402891,0.3963516047584449,0.0,0.0,0.0,0.0,0.0,0.0,-0.2447633402406729,-0.2983793000147052,-1.1141128013780006,1.1141128013780033,0.1821536018596924,-0.2316480930816138,-0.8722658043138783,-0.8963940854065461,-1.0541011692703557,LIRNEH,0.9293792434354002,0.9136547806426679,0.058462128446926435,0.6984273092911863
DDEC_QOVWOO,0.3758237068154973,-0.3559019106957878,0.0442907739189508,0.4018684943171903,-0.1512576425816896,0.595318400271866,-0.0096119702418266,1.2604227363112988,0.6125622771376935,-0.0025223596608877,0.071619851068268,-0.2220530140789214,-0.9698935320612044,0.6125622771376935,-0.9627997256238428,1.094641355368081,1.0354856071585354,0.6267320573849796,1.0869180835963783,0.5021261137173688,0.4271676927699595,-0.1104507291135596,-0.1217161238900368,-0.2143321465930949,-0.2285330228871162,-1.319687131281157,-2.5230123657741874,0.0,0.0,0.0,0.0,0.0,0.0,2.2271967506642825,3.3514389233794577,0.1015801005010234,-0.1015801005010227,0.3733765771320774,-0.298462371673629,0.2064814807112344,-1.7634573568554224,-0.9495266978878738,QOVWOO,0.9967541344983589,0.9024751328449119,0.04861655646213779,0.6977509574341642
DDEC_NARTUX,0.5384562511727401,0.1681207729651808,0.5879891264545444,-0.1872199409539202,0.4790076858373004,0.4573749463296133,0.3242342683773962,0.402633409315164,0.9247168843912792,-0.8819270627658576,-0.822241690808974,1.5319537280362905,0.4838856133697045,0.9247168843912792,-0.8515754995261071,0.2875888925279395,0.7738026792489978,0.4044989430948956,0.7332571154844709,0.3831705453515893,0.4020062067538595,-0.1104507291135596,-0.1217161238900368,3.1354801476797864,4.3757352323386085,-1.319687131281157,-2.5230123657741874,0.0,0.0,0.0,0.0,0.0,0.0,-0.2447633402406729,-0.2983793000147052,-0.4815571451157442,0.4815571451157474,-0.310390425357057,-0.2806452307157583,0.3659954902763511,-0.5650515913270544,-1.142242120966919,NARTUX,0.6658125753621322,0.9618433714270807,0.029439880577476783,0.6941360938828497
DDEC_WALCET,-0.2002245569041983,-0.4717172512173799,-0.3979272822526769,-0.1895006630087977,-0.1512576425816896,0.0602760063169873,-0.0096119702418266,1.207153473659112,-0.0811146278702747,-0.4118394157697406,-0.3903948304502393,0.2584724559708632,0.4838856133697045,-0.0811146278702747,-0.231286546288735,0.0558644336074736,0.5137156113967175,-0.3118429351673919,-0.1660486691162894,-0.6875370108993595,-0.5184360607653303,-0.1104507291135596,-0.1217161238900368,-0.2143321465930949,-0.2285330228871162,0.996356783758168,0.3963516047584449,0.0,0.0,0.0,0.0,0.0,0.0,-0.2447633402406729,-0.2983793000147052,0.774430768520371,-0.7744307685203675,-1.5990282377404257,-0.1915595259264048,1.7893512679343178,-1.0852827432246055,-0.805146489218735,WALCET,0.7655133250022663,0.941288366727174,0.04009021777304112,0.692734982156608
DDEC_WALBOC02,-0.2119681183567633,-0.4882201020596569,-0.3999419431008391,-0.1926397213208869,-0.1512576425816896,0.0602760063169873,-0.0096119702418266,1.230865892961282,-0.0811146278702747,-0.4005549749078532,-0.3842776047711185,0.24896097111519,0.4838856133697045,-0.0811146278702747,-0.231286546288735,0.0558644336074736,0.5137156113967175,-0.3118429351673919,-0.1660486691162894,-0.6875370108993595,-0.5184360607653303,-0.1104507291135596,-0.1217161238900368,-0.2143321465930949,-0.2285330228871162,0.996356783758168,0.3963516047584449,0.0,0.0,0.0,0.0,0.0,0.0,-0.2447633402406729,-0.2983793000147052,0.774430768520371,-0.7744307685203675,-1.5990282377404257,-0.1915595259264048,1.7893512679343178,-1.104160984766499,-0.8412086834109168,WALBOC02,0.7795688328058803,0.9370544363589941,0.040960436716912796,0.690948463924602
DDEC_WALCIX,-0.2259885663151655,-0.5164029030010401,-0.3955226870468056,-0.1943073460491849,-0.1512576425816896,0.0602760063169873,-0.0096119702418266,1.2593341574017098,-0.0811146278702747,-0.3778069165112268,-0.3715879069062466,0.2325348438338352,0.4838856133697045,-0.0811146278702747,-0.231286546288735,0.0558644336074736,0.5137156113967175,-0.3118429351673919,-0.1660486691162894,-0.6875370108993595,-0.5184360607653303,-0.1104507291135596,-0.1217161238900368,-0.2143321465930949,-0.2285330228871162,0.996356783758168,0.3963516047584449,0.0,0.0,0.0,0.0,0.0,0.0,-0.2447633402406729,-0.2983793000147052,0.774430768520371,-0.7744307685203675,-1.5990282377404257,-0.1915595259264048,1.7893512679343178,-1.1183719304274846,-0.8438327892846473,WALCIX,0.7638591227983094,0.9402483467071032,0.03811673252568794,0.6908353431560641
