material_name,cell_volume,cell_a,cell_b,cell_c,cell_alpha,cell_beta,cell_gamma,density,num_sites,cell_length_ratio_max,cell_length_std,cell_sphericity,num_elements,total_atoms,element_diversity,avg_atomic_mass,total_mass,mass_std,avg_electronegativity,electronegativity_std,electronegativity_range,alkali_fraction,has_alkali,alkaline_earth_fraction,has_alkaline_earth,transition_3d_fraction,has_transition_3d,transition_4d_fraction,has_transition_4d,transition_5d_fraction,has_transition_5d,lanthanide_fraction,has_lanthanide,post_transition_fraction,has_post_transition,metal_fraction,nonmetal_fraction,carbon_content,n_o_ratio,heteroatom_content,max_pore_diameter,largest_free_sphere,clean_material_name,purity,recovery,efficiency
DDEC_OSAVEK,-0.4298761213326127,-0.3239461971545255,-1.3291555175209933,0.2411143752879188,-0.1512576425816896,0.0602760063169873,-0.0096119702418266,-0.7195780741554065,-0.705423842377446,0.7229539323979688,0.4823578959011856,-0.8560208314708466,-0.9698935320612044,-0.705423842377446,0.1559851368886748,-0.5062117086267814,-0.7539176772050984,-0.6478493777670745,-0.5354196557487335,-0.626799217393167,-0.6132304964538928,-0.1104507291135596,-0.1217161238900368,5.105957967840306,4.3757352323386085,-1.319687131281157,-2.5230123657741874,0.0,0.0,0.0,0.0,0.0,0.0,-0.2447633402406729,-0.2983793000147052,0.2044866732569236,-0.2044866732569225,0.6147061074223604,-0.298462371673629,-0.1594624235852104,-0.277729341072197,0.0111906406397781,OSAVEK,0.8060293125355922,0.8654857708706131,0.06897936018043181
DDEC_XOHLEM01,-1.5074012019053296,-1.2692019044393716,-1.4457458904759355,-0.4347641175338538,-0.1512576425816896,0.0602760063169873,1.0834894918150986,0.2361104295177136,-1.173655753257825,0.1552574586823617,0.0807758492417728,-0.8214604472181208,-0.9698935320612044,-1.173655753257825,1.551952898585937,-0.6755481255826619,-1.0860330380655965,-0.9637549925930404,-1.0412018465033908,-1.0230770905343445,-1.1735124234403036,-0.1104507291135596,-0.1217161238900368,-0.2143321465930949,-0.2285330228871162,1.6177344195004262,0.3963516047584449,0.0,0.0,0.0,0.0,0.0,0.0,-0.2447633402406729,-0.2983793000147052,1.424306047875643,-1.4243060478756402,0.3233448452426288,-0.298462371673629,0.5449624278372142,-0.3284162793258068,-0.1216326250621541,XOHLEM01,0.82483659943984,0.8424994266092392,0.06794251153026126
DDEC_PASMUT,-0.6734951631572818,-0.8648000662100659,-0.3834347512029085,-0.3105751230618128,-0.1512576425816896,0.0602760063169873,1.7278995959080734,0.5477567466592687,-0.7401076876278445,-0.1616630362171367,-0.2743048240714689,-0.1126151303178197,-0.9698935320612044,-0.7401076876278445,0.2202215883248003,-0.1542734686084173,-0.2016791664841269,-0.478244070292922,-0.502793534608644,-0.620465480906752,-0.6854966248954821,-0.1104507291135596,-0.1217161238900368,-0.2143321465930949,-0.2285330228871162,1.4174556774016818,0.3963516047584449,0.0,0.0,0.0,0.0,0.0,0.0,-0.2447633402406729,-0.2983793000147052,1.2148421148603072,-1.2148421148603064,-0.372551061946978,-0.298462371673629,0.9460464341495036,-0.4123543385738971,-0.404193082408613,PASMUT,0.8476518242044724,0.8862270986614051,0.06785073136111425
DDEC_KIXXOG,-0.3090395610469723,-0.3424503877609753,-0.2053971931339398,-0.6524136684697475,-0.1512576425816896,0.0602760063169873,-0.0096119702418266,-0.2243975846005453,-0.2892176993726651,-0.9122710314860966,-0.9636450164292708,1.4932827336315375,-0.9698935320612044,-0.2892176993726651,-0.3970069233005787,-0.2349982188589348,-0.315546798536593,-0.0444716410463503,-0.0839112494498651,-0.1055941561103105,-0.0163766421184995,-0.1104507291135596,-0.1217161238900368,3.718056198857679,4.3757352323386085,-1.319687131281157,-2.5230123657741874,0.0,0.0,0.0,0.0,0.0,0.0,-0.2447633402406729,-0.2983793000147052,-0.2787267988142597,0.2787267988142621,1.0868725797294352,-0.298462371673629,-0.688184051197465,-1.1689069975550732,-1.0266454984878697,KIXXOG,0.6712909001507635,0.9955563163859292,0.06573120709372941
DDEC_FIRVEH,-1.939995850458607,0.2962067705003715,-1.515544156753082,-1.7747734521120064,-0.7081598646025254,-1.9052881684862215,-1.6620843983751064,0.4594337556563894,-1.2603653663838206,0.1129759961407348,0.0102804711926844,-1.0324564518214554,-2.4236726774921133,-1.2603653663838206,1.0392363441353991,-0.5136340514350506,-1.3424413507608537,-1.4778001550556372,-0.8657011474796865,-0.8853577119891549,-1.001770652609482,-0.1104507291135596,-0.1217161238900368,9.835104736225553,4.3757352323386085,-1.319687131281157,-2.5230123657741874,0.0,0.0,0.0,0.0,0.0,0.0,-0.2447633402406729,-0.2983793000147052,1.8509918373513263,-1.850991837351326,0.3733765771320774,-0.298462371673629,1.6421075667972864,-0.961169344608807,-0.6493362373483038,FIRVEH,0.8681082124328671,0.8525149291277673,0.06482448090828269
DDEC_XIDBUJ,-0.7923032275268769,-0.8944265155454681,-0.0238177118190643,-0.6489557995478366,0.3044593096530521,1.6032331830219329,1.287571677838605,-0.4337509350328786,-0.6707399971270477,-0.4612322448367555,-0.4591062035954922,0.6076320359821835,0.4838856133697045,-0.6707399971270477,0.6102286149012758,-0.7767122200635562,-0.8683702148770679,-0.6597013152320637,-0.7830689240803319,-0.6168710833050156,-0.5283836250042536,-0.1104507291135596,-0.1217161238900368,-0.2143321465930949,-0.2285330228871162,-0.4594422485522651,0.3963516047584449,0.0,0.0,0.0,0.0,0.0,0.0,-0.2447633402406729,-0.2983793000147052,-0.7481341716834095,0.7481341716834105,0.7543324785188812,-0.2583738045184199,-0.4634773594622566,0.5717877263015797,0.7087450574678908,XIDBUJ,0.7910868953475655,0.8324287478539057,0.0628851248581368
DDEC_LIRNEH,1.3938830502915305,0.9031703579207137,1.3810508159418744,0.5172534111795433,1.4594577981359318,0.0602760063169873,-0.0096119702418266,-0.2698290531175298,2.2080191586560205,-0.824832833395098,-0.7026498983966739,1.0775729673139551,0.4838856133697045,2.2080191586560205,-1.2003294288156172,0.6581122455167312,1.1300787968579746,1.6457790191700354,1.745872954926261,1.9717622018132643,1.8853635800285868,-0.1104507291135596,-0.1217161238900368,-0.2143321465930949,-0.2285330228871162,-0.8093723703402891,0.3963516047584449,0.0,0.0,0.0,0.0,0.0,0.0,-0.2447633402406729,-0.2983793000147052,-1.1141128013780006,1.1141128013780033,0.1821536018596924,-0.2316480930816138,-0.8722658043138783,-0.8963940854065461,-1.0541011692703557,LIRNEH,0.9293792434354002,0.9136547806426679,0.058462128446926435
DDEC_LEGGIO,0.9095417641010776,-0.31895925216839,-0.4935586607345982,2.2925380300245406,-0.1512576425816896,0.0602760063169873,0.3842573371783033,-0.2232095675637429,0.3350915151345062,1.5646371198710878,2.2791228163669657,-1.8031349932112568,0.4838856133697045,0.3350915151345062,-0.5561361489539968,0.2555330400257743,0.7397763279232847,-0.1142887717662586,0.1709126730092227,-0.3719397736838861,-0.1509613347627549,-0.1104507291135596,-0.1217161238900368,-0.2143321465930949,-0.2285330228871162,0.5620985496882944,0.3963516047584449,0.0,0.0,0.0,0.0,0.0,0.0,-0.2447633402406729,-0.2983793000147052,0.3202565676073114,-0.3202565676073098,-0.2676549877014859,-0.2182852373632108,0.5055702486458286,-0.2953683516787905,-0.482517430784796,LEGGIO,0.7654141717514803,0.8455246243834009,0.05776108966223829
DDEC_LOLQIM,-0.1081672696500927,1.5435989905912209,1.6039630987143665,-1.8640166052571088,1.0974848272042417,0.7802020196506786,1.8814176719101687,1.5015534169360647,-0.4973207708750556,1.5547719026132227,1.2417309771326863,-1.0224636365637134,0.4838856133697045,-0.4973207708750556,0.2884728179756834,0.2336885975418757,0.7162529919718215,0.3195719288038134,-0.4572406659457513,0.5675358687224779,0.5705296479779708,-0.1104507291135596,-0.1217161238900368,-0.2143321465930949,-0.2285330228871162,0.1857414134944041,0.3963516047584449,0.0,0.0,0.0,0.0,0.0,0.0,-0.2447633402406729,-0.2983793000147052,-0.0733610731840067,0.0733610731840069,-3.7292254378027296,-0.298462371673629,2.9820252471442688,-0.5903040575715282,-0.8962559890107963,LOLQIM,0.7755126575998023,0.9948876408956576,0.057236501821731595
DDEC_ZNGLUD,-1.541541972575864,-0.0023538632459779,-1.4833420614650288,-1.5721822778050374,-0.1512576425816896,0.0602760063169873,-0.0096119702418266,1.1021020377062964,-0.6360561518766492,-0.1696247962001904,-0.3427734598360999,-0.1308823397528751,0.4838856133697045,-0.6360561518766492,0.5387273266955889,-0.7001613186447836,-0.6931692226084667,-0.9180397361605612,-0.7420002142471198,-0.8251394747004908,-0.9438407196886938,-0.1104507291135596,-0.1217161238900368,-0.2143321465930949,-0.2285330228871162,0.3530112518027997,0.3963516047584449,0.0,0.0,0.0,0.0,0.0,0.0,-0.2447633402406729,-0.2983793000147052,0.1015801005010234,-0.1015801005010227,-1.165099178468475,-0.285099515955226,0.2064814807112344,-1.6352248976556143,-1.0357958780371992,ZNGLUD,0.9923288718517107,0.9338189374269931,0.05634555378818082
